IQ;age;Mjob;traveltime;studytime;failures;freetime;absences;avgscore;Mjob
E;18;at_home;2;2;0;3;4;3.67;1
C;17;at_home;1;2;0;3;2;5.17;1
C;15;at_home;1;2;0;3;6;6.17;1
B;15;health;1;3;0;2;0;7;2
C;16;other;1;2;0;3;0;6.17;3
C;16;services;1;2;0;4;6;6.17;4
C;16;other;1;2;0;4;0;6.33;3
C;17;other;2;2;0;1;2;6;3
A;15;services;1;2;0;2;0;8;4
C;15;other;1;2;0;5;0;6.17;3
B;15;teacher;1;2;0;3;2;7;5
C;15;services;3;3;0;2;0;5.83;4
C;15;health;1;1;0;3;0;6.17;2
C;15;teacher;2;2;0;4;0;6.17;5
B;15;engineer;1;3;0;5;0;7.17;6
A;16;health;1;1;0;4;6;8.5;2
C;16;services;1;3;0;2;10;6.67;4
C;16;other;3;2;0;3;2;6.83;3
E;17;services;1;1;3;5;2;3.83;4
C;16;health;1;1;0;1;6;6;2
C;15;teacher;1;2;0;4;0;6.5;5
C;15;health;1;1;0;4;0;5.83;2
C;16;teacher;1;2;0;5;0;6.5;5
C;16;other;2;2;0;4;2;5;3
C;15;services;1;3;0;3;2;5.17;4
C;16;services;1;1;0;2;6;5.5;4
C;15;other;1;1;0;2;8;5.83;3
C;15;health;1;1;0;2;0;5.5;2
C;16;services;1;2;0;3;2;6.17;4
C;16;teacher;1;2;0;4;4;5.83;5
C;15;health;1;2;0;4;0;5.33;2
B;15;services;2;2;0;3;2;7.5;4
B;15;teacher;1;2;0;5;0;7;5
C;15;other;1;2;0;3;0;6.17;3
C;16;other;1;1;0;4;4;6;3
C;15;other;2;1;0;5;4;5.5;3
B;15;teacher;1;3;0;4;0;7;5
C;16;engineer;2;3;0;4;4;6.5;6
C;15;services;1;3;0;3;2;5.83;4
C;15;at_home;1;1;0;3;8;6.5;1
C;16;other;2;2;0;3;16;5.33;3
C;15;teacher;1;1;0;4;8;5.33;5
B;15;services;1;2;0;3;0;7.33;4
D;15;services;1;1;0;4;0;4.83;4
C;16;other;2;2;1;3;14;5.33;3
C;15;other;1;2;0;2;4;5.33;3
C;16;other;1;2;0;3;6;6.33;3
A;16;health;1;4;0;2;2;8.5;2
C;15;teacher;1;2;0;3;4;6;5
C;15;services;1;2;0;4;2;6.17;4
C;16;services;3;2;0;3;0;6.67;4
B;15;health;1;2;0;3;0;7.67;2
D;15;health;2;1;0;5;4;4.67;2
C;15;services;1;1;0;3;0;6.17;4
C;15;other;1;1;0;3;0;6.33;3
C;16;other;1;2;0;3;2;6.17;3
B;15;services;1;2;0;3;0;7.33;4
B;15;teacher;1;2;0;2;8;7.67;5
C;15;other;1;2;0;3;0;6.83;3
B;16;services;1;2;0;2;2;7.83;4
A;16;health;1;2;0;4;0;8.17;2
C;16;services;4;1;0;5;0;6;4
C;16;other;1;2;0;4;0;6;3
C;16;teacher;1;3;0;4;0;6.67;5
C;15;services;1;2;0;4;0;6.17;4
B;16;teacher;3;2;0;4;2;7.83;5
C;15;engineer;1;4;0;3;0;5.83;6
D;16;services;1;4;0;3;0;4.83;4
C;15;health;2;2;0;1;0;5.33;2
B;15;engineer;2;4;0;4;6;7.5;6
C;16;engineer;2;4;0;3;2;5.83;6
C;15;engineer;1;4;0;3;0;5;6
C;15;other;1;2;0;3;2;5.83;3
C;16;other;1;1;0;3;0;6.67;3
C;16;other;1;2;0;3;4;5.5;3
C;15;teacher;1;2;0;3;0;5.5;5
C;15;teacher;2;4;0;4;0;5.67;5
C;16;engineer;1;4;0;2;1;6.5;6
D;17;other;2;1;3;5;0;4.67;3
C;16;at_home;1;2;0;4;14;5.67;1
C;15;other;1;1;0;2;0;5.67;3
D;15;engineer;1;3;0;3;2;4.67;6
C;15;services;1;2;0;4;4;5.67;4
C;15;services;2;2;0;3;2;6.33;4
C;15;other;1;2;0;3;2;6.17;3
C;15;services;2;2;0;4;4;5.83;4
C;16;at_home;1;2;0;3;6;5.83;1
B;15;engineer;1;3;0;3;4;7.5;6
C;16;services;2;2;0;4;6;5.5;4
D;16;teacher;1;2;0;1;6;4.67;5
C;16;engineer;1;3;0;3;2;5.17;6
C;15;services;1;1;0;5;6;6.67;4
C;16;other;1;2;0;3;0;6.17;3
C;16;teacher;2;2;0;3;2;6.83;5
C;15;services;1;4;0;3;2;5.83;4
C;15;at_home;2;4;0;1;4;6.5;1
C;16;services;2;1;0;3;6;5.17;4
C;16;other;1;2;0;3;0;6.17;3
C;16;other;1;1;0;3;4;6.33;3
C;16;engineer;1;3;0;3;2;6.33;6
D;16;services;1;1;0;5;12;4.33;4
A;16;services;1;3;0;4;0;8;4
C;15;services;1;1;0;3;2;6.17;4
C;15;services;2;2;0;3;16;5.17;4
A;15;services;1;2;0;4;0;8;4
C;15;engineer;1;4;0;3;10;5;6
C;15;engineer;1;4;0;1;4;5;6
C;16;services;1;3;0;3;4;6.83;4
