age;Mjob;traveltime;studytime;failures;freetime;absences;avgscore;IQ
18.00;1;2.00;2.00;0.00;3.00;4.00;3.67;E
17.00;1;1.00;2.00;0.00;3.00;2.00;5.17;C
15.00;1;1.00;2.00;0.00;3.00;6.00;6.17;C
15.00;2;1.00;3.00;0.00;2.00;0.00;7.00;B
16.00;3;1.00;2.00;0.00;3.00;0.00;6.17;C
16.00;4;1.00;2.00;0.00;4.00;6.00;6.17;C
16.00;3;1.00;2.00;0.00;4.00;0.00;6.33;C
17.00;3;2.00;2.00;0.00;1.00;2.00;6.00;C
15.00;4;1.00;2.00;0.00;2.00;0.00;8.00;A
15.00;3;1.00;2.00;0.00;5.00;0.00;6.17;C
15.00;5;1.00;2.00;0.00;3.00;2.00;7.00;B
15.00;4;3.00;3.00;0.00;2.00;0.00;5.83;C
15.00;2;1.00;1.00;0.00;3.00;0.00;6.17;C
15.00;5;2.00;2.00;0.00;4.00;0.00;6.17;C
15.00;6;1.00;3.00;0.00;5.00;0.00;7.17;B
16.00;2;1.00;1.00;0.00;4.00;6.00;8.50;A
16.00;4;1.00;3.00;0.00;2.00;10.00;6.67;C
16.00;3;3.00;2.00;0.00;3.00;2.00;6.83;C
17.00;4;1.00;1.00;3.00;5.00;2.00;3.83;E
16.00;2;1.00;1.00;0.00;1.00;6.00;6.00;C
15.00;5;1.00;2.00;0.00;4.00;0.00;6.50;C
15.00;2;1.00;1.00;0.00;4.00;0.00;5.83;C
16.00;5;1.00;2.00;0.00;5.00;0.00;6.50;C
16.00;3;2.00;2.00;0.00;4.00;2.00;5.00;C
15.00;4;1.00;3.00;0.00;3.00;2.00;5.17;C
16.00;4;1.00;1.00;0.00;2.00;6.00;5.50;C
15.00;3;1.00;1.00;0.00;2.00;8.00;5.83;C
15.00;2;1.00;1.00;0.00;2.00;0.00;5.50;C
16.00;4;1.00;2.00;0.00;3.00;2.00;6.17;C
16.00;5;1.00;2.00;0.00;4.00;4.00;5.83;C
15.00;2;1.00;2.00;0.00;4.00;0.00;5.33;C
15.00;4;2.00;2.00;0.00;3.00;2.00;7.50;B
15.00;5;1.00;2.00;0.00;5.00;0.00;7.00;B
15.00;3;1.00;2.00;0.00;3.00;0.00;6.17;C
16.00;3;1.00;1.00;0.00;4.00;4.00;6.00;C
15.00;3;2.00;1.00;0.00;5.00;4.00;5.50;C
15.00;5;1.00;3.00;0.00;4.00;0.00;7.00;B
16.00;6;2.00;3.00;0.00;4.00;4.00;6.50;C
15.00;4;1.00;3.00;0.00;3.00;2.00;5.83;C
15.00;1;1.00;1.00;0.00;3.00;8.00;6.50;C
16.00;3;2.00;2.00;0.00;3.00;16.00;5.33;C
15.00;5;1.00;1.00;0.00;4.00;8.00;5.33;C
15.00;4;1.00;2.00;0.00;3.00;0.00;7.33;B
15.00;4;1.00;1.00;0.00;4.00;0.00;4.83;D
16.00;3;2.00;2.00;1.00;3.00;14.00;5.33;C
15.00;3;1.00;2.00;0.00;2.00;4.00;5.33;C
16.00;3;1.00;2.00;0.00;3.00;6.00;6.33;C
16.00;2;1.00;4.00;0.00;2.00;2.00;8.50;A
15.00;5;1.00;2.00;0.00;3.00;4.00;6.00;C
15.00;4;1.00;2.00;0.00;4.00;2.00;6.17;C
16.00;4;3.00;2.00;0.00;3.00;0.00;6.67;C
15.00;2;1.00;2.00;0.00;3.00;0.00;7.67;B
15.00;2;2.00;1.00;0.00;5.00;4.00;4.67;D
15.00;4;1.00;1.00;0.00;3.00;0.00;6.17;C
15.00;3;1.00;1.00;0.00;3.00;0.00;6.33;C
16.00;3;1.00;2.00;0.00;3.00;2.00;6.17;C
15.00;4;1.00;2.00;0.00;3.00;0.00;7.33;B
15.00;5;1.00;2.00;0.00;2.00;8.00;7.67;B
15.00;3;1.00;2.00;0.00;3.00;0.00;6.83;C
16.00;4;1.00;2.00;0.00;2.00;2.00;7.83;B
16.00;2;1.00;2.00;0.00;4.00;0.00;8.17;A
16.00;4;4.00;1.00;0.00;5.00;0.00;6.00;C
16.00;3;1.00;2.00;0.00;4.00;0.00;6.00;C
16.00;5;1.00;3.00;0.00;4.00;0.00;6.67;C
15.00;4;1.00;2.00;0.00;4.00;0.00;6.17;C
16.00;5;3.00;2.00;0.00;4.00;2.00;7.83;B
15.00;6;1.00;4.00;0.00;3.00;0.00;5.83;C
16.00;4;1.00;4.00;0.00;3.00;0.00;4.83;D
15.00;2;2.00;2.00;0.00;1.00;0.00;5.33;C
15.00;6;2.00;4.00;0.00;4.00;6.00;7.50;B
16.00;6;2.00;4.00;0.00;3.00;2.00;5.83;C
15.00;6;1.00;4.00;0.00;3.00;0.00;5.00;C
15.00;3;1.00;2.00;0.00;3.00;2.00;5.83;C
16.00;3;1.00;1.00;0.00;3.00;0.00;6.67;C
16.00;3;1.00;2.00;0.00;3.00;4.00;5.50;C
15.00;5;1.00;2.00;0.00;3.00;0.00;5.50;C
15.00;5;2.00;4.00;0.00;4.00;0.00;5.67;C
16.00;6;1.00;4.00;0.00;2.00;1.00;6.50;C
17.00;3;2.00;1.00;3.00;5.00;0.00;4.67;D
16.00;1;1.00;2.00;0.00;4.00;14.00;5.67;C
15.00;3;1.00;1.00;0.00;2.00;0.00;5.67;C
15.00;6;1.00;3.00;0.00;3.00;2.00;4.67;D
15.00;4;1.00;2.00;0.00;4.00;4.00;5.67;C
