IQ;age;Mjob;traveltime;studytime;failures;freetime;absences;IQ
E;18.00;1;2.00;2.00;0.00;3.00;4.00;E
C;17.00;1;1.00;2.00;0.00;3.00;2.00;C
C;15.00;1;1.00;2.00;0.00;3.00;6.00;C
B;15.00;2;1.00;3.00;0.00;2.00;0.00;B
C;16.00;3;1.00;2.00;0.00;3.00;0.00;C
C;16.00;4;1.00;2.00;0.00;4.00;6.00;C
C;16.00;3;1.00;2.00;0.00;4.00;0.00;C
C;17.00;3;2.00;2.00;0.00;1.00;2.00;C
A;15.00;4;1.00;2.00;0.00;2.00;0.00;A
C;15.00;3;1.00;2.00;0.00;5.00;0.00;C
B;15.00;5;1.00;2.00;0.00;3.00;2.00;B
C;15.00;4;3.00;3.00;0.00;2.00;0.00;C
C;15.00;2;1.00;1.00;0.00;3.00;0.00;C
C;15.00;5;2.00;2.00;0.00;4.00;0.00;C
B;15.00;6;1.00;3.00;0.00;5.00;0.00;B
A;16.00;2;1.00;1.00;0.00;4.00;6.00;A
C;16.00;4;1.00;3.00;0.00;2.00;10.00;C
C;16.00;3;3.00;2.00;0.00;3.00;2.00;C
E;17.00;4;1.00;1.00;3.00;5.00;2.00;E
C;16.00;2;1.00;1.00;0.00;1.00;6.00;C
C;15.00;5;1.00;2.00;0.00;4.00;0.00;C
C;15.00;2;1.00;1.00;0.00;4.00;0.00;C
C;16.00;5;1.00;2.00;0.00;5.00;0.00;C
C;16.00;3;2.00;2.00;0.00;4.00;2.00;C
C;15.00;4;1.00;3.00;0.00;3.00;2.00;C
C;16.00;4;1.00;1.00;0.00;2.00;6.00;C
C;15.00;3;1.00;1.00;0.00;2.00;8.00;C
C;15.00;2;1.00;1.00;0.00;2.00;0.00;C
C;16.00;4;1.00;2.00;0.00;3.00;2.00;C
C;16.00;5;1.00;2.00;0.00;4.00;4.00;C
C;15.00;2;1.00;2.00;0.00;4.00;0.00;C
B;15.00;4;2.00;2.00;0.00;3.00;2.00;B
B;15.00;5;1.00;2.00;0.00;5.00;0.00;B
C;15.00;3;1.00;2.00;0.00;3.00;0.00;C
C;16.00;3;1.00;1.00;0.00;4.00;4.00;C
C;15.00;3;2.00;1.00;0.00;5.00;4.00;C
B;15.00;5;1.00;3.00;0.00;4.00;0.00;B
C;16.00;6;2.00;3.00;0.00;4.00;4.00;C
C;15.00;4;1.00;3.00;0.00;3.00;2.00;C
C;15.00;1;1.00;1.00;0.00;3.00;8.00;C
C;16.00;3;2.00;2.00;0.00;3.00;16.00;C
C;15.00;5;1.00;1.00;0.00;4.00;8.00;C
B;15.00;4;1.00;2.00;0.00;3.00;0.00;B
D;15.00;4;1.00;1.00;0.00;4.00;0.00;D
C;16.00;3;2.00;2.00;1.00;3.00;14.00;C
C;15.00;3;1.00;2.00;0.00;2.00;4.00;C
C;16.00;3;1.00;2.00;0.00;3.00;6.00;C
A;16.00;2;1.00;4.00;0.00;2.00;2.00;A
C;15.00;5;1.00;2.00;0.00;3.00;4.00;C
C;15.00;4;1.00;2.00;0.00;4.00;2.00;C
C;16.00;4;3.00;2.00;0.00;3.00;0.00;C
B;15.00;2;1.00;2.00;0.00;3.00;0.00;B
D;15.00;2;2.00;1.00;0.00;5.00;4.00;D
C;15.00;4;1.00;1.00;0.00;3.00;0.00;C
C;15.00;3;1.00;1.00;0.00;3.00;0.00;C
C;16.00;3;1.00;2.00;0.00;3.00;2.00;C
B;15.00;4;1.00;2.00;0.00;3.00;0.00;B
B;15.00;5;1.00;2.00;0.00;2.00;8.00;B
C;15.00;3;1.00;2.00;0.00;3.00;0.00;C
B;16.00;4;1.00;2.00;0.00;2.00;2.00;B
A;16.00;2;1.00;2.00;0.00;4.00;0.00;A
C;16.00;4;4.00;1.00;0.00;5.00;0.00;C
C;16.00;3;1.00;2.00;0.00;4.00;0.00;C
C;16.00;5;1.00;3.00;0.00;4.00;0.00;C
C;15.00;4;1.00;2.00;0.00;4.00;0.00;C
B;16.00;5;3.00;2.00;0.00;4.00;2.00;B
C;15.00;6;1.00;4.00;0.00;3.00;0.00;C
D;16.00;4;1.00;4.00;0.00;3.00;0.00;D
C;15.00;2;2.00;2.00;0.00;1.00;0.00;C
B;15.00;6;2.00;4.00;0.00;4.00;6.00;B
C;16.00;6;2.00;4.00;0.00;3.00;2.00;C
C;15.00;6;1.00;4.00;0.00;3.00;0.00;C
C;15.00;3;1.00;2.00;0.00;3.00;2.00;C
C;16.00;3;1.00;1.00;0.00;3.00;0.00;C
C;16.00;3;1.00;2.00;0.00;3.00;4.00;C
C;15.00;5;1.00;2.00;0.00;3.00;0.00;C
C;15.00;5;2.00;4.00;0.00;4.00;0.00;C
C;16.00;6;1.00;4.00;0.00;2.00;1.00;C
D;17.00;3;2.00;1.00;3.00;5.00;0.00;D
C;16.00;1;1.00;2.00;0.00;4.00;14.00;C
C;15.00;3;1.00;1.00;0.00;2.00;0.00;C
D;15.00;6;1.00;3.00;0.00;3.00;2.00;D
C;15.00;4;1.00;2.00;0.00;4.00;4.00;C
C;15.00;4;2.00;2.00;0.00;3.00;2.00;C
C;15.00;3;1.00;2.00;0.00;3.00;2.00;C
C;15.00;4;2.00;2.00;0.00;4.00;4.00;C
C;16.00;1;1.00;2.00;0.00;3.00;6.00;C
B;15.00;6;1.00;3.00;0.00;3.00;4.00;B
C;16.00;4;2.00;2.00;0.00;4.00;6.00;C
D;16.00;5;1.00;2.00;0.00;1.00;6.00;D
C;16.00;6;1.00;3.00;0.00;3.00;2.00;C
C;15.00;4;1.00;1.00;0.00;5.00;6.00;C
C;16.00;3;1.00;2.00;0.00;3.00;0.00;C
C;16.00;5;2.00;2.00;0.00;3.00;2.00;C
C;15.00;4;1.00;4.00;0.00;3.00;2.00;C
C;15.00;1;2.00;4.00;0.00;1.00;4.00;C
C;16.00;4;2.00;1.00;0.00;3.00;6.00;C
C;16.00;3;1.00;2.00;0.00;3.00;0.00;C
C;16.00;3;1.00;1.00;0.00;3.00;4.00;C
C;16.00;6;1.00;3.00;0.00;3.00;2.00;C
D;16.00;4;1.00;1.00;0.00;5.00;12.00;D
A;16.00;4;1.00;3.00;0.00;4.00;0.00;A
C;15.00;4;1.00;1.00;0.00;3.00;2.00;C
C;15.00;4;2.00;2.00;0.00;3.00;16.00;C
A;15.00;4;1.00;2.00;0.00;4.00;0.00;A
C;15.00;6;1.00;4.00;0.00;3.00;10.00;C
C;15.00;6;1.00;4.00;0.00;1.00;4.00;C
C;16.00;4;1.00;3.00;0.00;3.00;4.00;C
C;15.00;6;4.00;4.00;0.00;3.00;8.00;C
B;16.00;2;1.00;3.00;0.00;4.00;2.00;B
C;15.00;5;1.00;1.00;0.00;5.00;4.00;C
C;16.00;4;1.00;3.00;0.00;1.00;4.00;C
D;16.00;1;1.00;2.00;1.00;1.00;12.00;D
