IQ;age;Mjob;traveltime;studytime;failures;freetime;absences
E;18.00;1;2.00;2.00;0.00;3.00;4.00
C;17.00;1;1.00;2.00;0.00;3.00;2.00
C;15.00;1;1.00;2.00;0.00;3.00;6.00
B;15.00;2;1.00;3.00;0.00;2.00;0.00
C;16.00;3;1.00;2.00;0.00;3.00;0.00
C;16.00;4;1.00;2.00;0.00;4.00;6.00
C;16.00;3;1.00;2.00;0.00;4.00;0.00
C;17.00;3;2.00;2.00;0.00;1.00;2.00
A;15.00;4;1.00;2.00;0.00;2.00;0.00
C;15.00;3;1.00;2.00;0.00;5.00;0.00
B;15.00;5;1.00;2.00;0.00;3.00;2.00
C;15.00;4;3.00;3.00;0.00;2.00;0.00
C;15.00;2;1.00;1.00;0.00;3.00;0.00
C;15.00;5;2.00;2.00;0.00;4.00;0.00
B;15.00;6;1.00;3.00;0.00;5.00;0.00
A;16.00;2;1.00;1.00;0.00;4.00;6.00
C;16.00;4;1.00;3.00;0.00;2.00;10.00
C;16.00;3;3.00;2.00;0.00;3.00;2.00
E;17.00;4;1.00;1.00;3.00;5.00;2.00
C;16.00;2;1.00;1.00;0.00;1.00;6.00
C;15.00;5;1.00;2.00;0.00;4.00;0.00
C;15.00;2;1.00;1.00;0.00;4.00;0.00
C;16.00;5;1.00;2.00;0.00;5.00;0.00
C;16.00;3;2.00;2.00;0.00;4.00;2.00
C;15.00;4;1.00;3.00;0.00;3.00;2.00
C;16.00;4;1.00;1.00;0.00;2.00;6.00
C;15.00;3;1.00;1.00;0.00;2.00;8.00
C;15.00;2;1.00;1.00;0.00;2.00;0.00
C;16.00;4;1.00;2.00;0.00;3.00;2.00
C;16.00;5;1.00;2.00;0.00;4.00;4.00
C;15.00;2;1.00;2.00;0.00;4.00;0.00
B;15.00;4;2.00;2.00;0.00;3.00;2.00
B;15.00;5;1.00;2.00;0.00;5.00;0.00
C;15.00;3;1.00;2.00;0.00;3.00;0.00
C;16.00;3;1.00;1.00;0.00;4.00;4.00
C;15.00;3;2.00;1.00;0.00;5.00;4.00
B;15.00;5;1.00;3.00;0.00;4.00;0.00
C;16.00;6;2.00;3.00;0.00;4.00;4.00
C;15.00;4;1.00;3.00;0.00;3.00;2.00
C;15.00;1;1.00;1.00;0.00;3.00;8.00
C;16.00;3;2.00;2.00;0.00;3.00;16.00
C;15.00;5;1.00;1.00;0.00;4.00;8.00
B;15.00;4;1.00;2.00;0.00;3.00;0.00
D;15.00;4;1.00;1.00;0.00;4.00;0.00
C;16.00;3;2.00;2.00;1.00;3.00;14.00
C;15.00;3;1.00;2.00;0.00;2.00;4.00
C;16.00;3;1.00;2.00;0.00;3.00;6.00
A;16.00;2;1.00;4.00;0.00;2.00;2.00
C;15.00;5;1.00;2.00;0.00;3.00;4.00
C;15.00;4;1.00;2.00;0.00;4.00;2.00
C;16.00;4;3.00;2.00;0.00;3.00;0.00
B;15.00;2;1.00;2.00;0.00;3.00;0.00
